school_id,id_2,name,type_name,address,admissions,belong,central,city_id,city_name,code_enroll,content,county_id,create_date,data_code,department,dual_class,dual_class_name,email,f211,f985,is_ads,is_recruitment,is_video,is_seal,level,level_name,logo,num_academician,num_doctor,num_lab,num_library,num_master,num_subject,phone,province_id,province_name,school_nature,school_nature_name,school_type,school_type_name,short,site,status,town_name,type,_id
307,gkschool307,上海理工大学,理工类,上海市军工路516号,2,上海市教育委员会,2,3101,上海市,1025200,上海理工大学以工学为主，工学、理学、经济学、管理学、文学、法学、艺术学等多学科协调发展，是一所上海市属重点建设的应用研究型大学。2016年7月，学校成为国家国防科技工业局与,310110,1906,312001000,2,38003,,zhaoban@usst.edu.cn,2,2,1,1,1,1,2001,普通本科,,6,8,0,142,27,2,021-55270799,"[""province_id""]",上海,36000,公办,6000,普通本科,上海理工,http://zhaoban.usst.edu.cn/,1,杨浦区,5001,ObjectId(5ceecb44782ac34b5ccea878)
318,gkschool318,上海对外经贸大学,财经类,上海市松江区文翔路1900号,2,上海市教育委员会,2,3101,上海市,1027300,上海对外经贸大学(原上海对外贸易学院)建立于1960年，由原上海外国语学院(上海外国语大学前身)外贸外语系、上海海关学校、上海干部学校合并组建而成，是原国家对外贸易经济合作部(商,310117,1960,312002400,2,38003,,,2,2,1,1,1,1,2001,普通本科,,0,0,9,0,7,0,021-67703050,"[""province_id""]",上海,36000,公办,6000,普通本科,"上经贸大,上贸大,贸大",http://zhaosheng.suibe.edu.cn/,1,松江区,5006,ObjectId(5ceecb44782ac34b5ccea879)
184,gkschool184,重庆邮电大学,理工类,重庆市南岸区南山街道崇文路2号,2,重庆市教育委员会,2,5001,重庆市,1061700,重庆邮电大学是国家布点设立并重点建设的几所邮电高校之一，是工业和信息化部与重庆市共建的一所特色鲜明、优势突出，在信息通信领域具有重要影响的高水平教学研究型大学。学校发,500108,1950,502000400,2,38003,,cqzb@cqupt.edu.cn,2,2,1,1,2,1,2001,普通本科,,10,2,12,250,15,0,"023-62468661,023-62468662","[""province_id""]",重庆,36000,公办,6000,普通本科,重邮,http://www.cqupt.edu.cn/,1,南岸区,5001,ObjectId(5ceecb44782ac34b5ccea87a)
596,gkschool596,河北医科大学,医药类,中山校区：河北省石家庄市中山东路361号；建华校区：北院，河北省石家庄市建华南大街309号,2,河北省教育厅,2,1301,石家庄市,1008900,河北医科大学是河北省重点骨干大学，初名北洋医学堂，1894年由直隶总督北洋大臣李鸿章于天津创办，是中国近代第一所官办西医院校。辛亥革命后，1912年10月民国教育部颁发第十六号令，,0,0000,132000800,2,38003,,ydzsb@hebmu.edu.cn,2,2,1,1,1,1,2001,普通本科,,3,6,0,100,52,2,0311-86266317,"[""province_id""]",河北,36000,公办,6000,普通本科,河北医大,http://zsb.hebmu.edu.cn,1,,5003,ObjectId(5ceecb45782ac34b5ccea87b)
3055,gkschool3055,河北中医学院,医药类,杏苑校区位于河北省石家庄市鹿泉区杏苑路3号；橘泉校区位于河北省石家庄市桥西区新石南路326号。,2,河北省教育厅,2,1301,石家庄市,1443200,河北中医学院始建于1958年，是全国建校较早的高等中医药院校之一。建校60年来，培养出包括中国工程院院士、国医大师在内的数万名中医药人才。现为河北省人民政府与国家中医药管理局,0,1958,132013200,2,38003,,hbzyxyzsb@163.com,2,2,1,1,1,1,2001,普通本科,,0,2,3,0,3,9,"0311-89926111,0311-89926311","[""province_id""]",河北,36000,公办,6000,普通本科,"河北中医,HUCM",http://zsb.hebcm.edu.cn,1,,5003,ObjectId(5ceecb45782ac34b5ccea87c)
1476,gkschool1476,重庆邮电大学移通学院,理工类,重庆市合川大学城假日大道1号,2,重庆市教育委员会,2,5001,重庆市,1362700,全国十佳优秀独立学院中国十大品牌独立学院最具综合实力中外合作院校中国社会影响力就业典型高校西部信息产业国际化人才的摇篮中国应用技术大学改革研究试点院校重庆邮电大学移通,500117,2000,502005600,2,38003,,cyytzsb@163.com,2,2,1,1,2,1,2001,普通本科,,0,0,0,143,0,0,"023-42871001,023-42870166","[""province_id""]",重庆,36001,民办,6000,普通本科,重邮移通,http://www.cqytu.com/,1,合川区,5001,ObjectId(5ceecb45782ac34b5ccea87d)
1472,gkschool1472,重庆师范大学涉外商贸学院,财经类,重庆市合川区学府路9号,2,重庆市教育委员会,2,5001,重庆市,1358900,重庆师范大学涉外商贸学院是2002年经教育部批准设立的全日制普通本科高校，曾被评为“全国先进独立学院”、“中国品牌影响力独立学院”。学院秉承“厚德、笃学、砺志、创新”的校训,500117,2002,502005400,2,38003,,csswsm@sohu.com,2,2,1,1,2,1,2001,普通本科,,0,0,0,166,0,0,"023-42888768,023-42897897,023-42888798","[""province_id""]",重庆,36001,民办,6000,普通本科,重师商院,http://www.swsm.edu.cn,1,合川区,5006,ObjectId(5ceecb45782ac34b5ccea87e)
1475,gkschool1475,重庆工商大学融智学院,财经类,重庆市巴南区龙洲湾街道尚文大道906号,2,重庆市教育委员会,2,5001,重庆市,1359000,办学条件：学院位于重庆市巴南区龙洲湾尚文大道906号，规划占地902亩。校区建筑极具现代气息，拥有完善的教学和生活设施：现代化教学楼(配备有多媒体教室和实验室)、运动场、图书馆,500113,2001,502005800,2,38003,,zsjy@cqrz.edu.cn,2,2,1,1,1,1,2001,普通本科,,0,0,0,48,0,0,"023-88968679,023-88968678,15023650606,15823287653","[""province_id""]",重庆,36001,民办,6000,普通本科,融智学院,http://www.cqrz.edu.cn/,1,巴南区,5006,ObjectId(5ceecb45782ac34b5ccea87f)
456,gkschool456,黑龙江东方学院,综合类,哈尔滨市平房区哈南工业新城哈南十九路1号,2,黑龙江省教育厅,2,2301,哈尔滨市,1144600,黑龙江东方学院是改革开放后黑龙江省第一所民办普通高等高校，于1992年由孟新、尚鹤翔、周长源、刘式勤等老一辈教育工作者发起创办。学院1993年开始招收全日制专科生;2000年开始招收本,0,1992,232002400,2,38003,,zsb@mail.dfxy.net,2,2,1,1,1,1,2001,普通本科,,0,0,0,113,0,0,"0451-87505389,0451-87505390","[""province_id""]",黑龙江,36001,民办,6000,普通本科,东方学院,http://www.dfxyzj.com/,1,,5000,ObjectId(5ceecb45782ac34b5ccea880)
1488,gkschool1488,重庆电子工程职业学院,理工类,重庆市沙坪坝区大学城东路76号,2,重庆市教育委员会,2,5001,重庆市,1260900,重庆电子工程职业学院是由重庆市政府举办、重庆市教委主管、市教委与市经信委共建的全日制普通高等院校。学校创建于1965年，1999年成为重庆第一所高职学院，是教育部、财政部重点建,500106,1965,502003700,2,38003,,cdzy_zhaosheng@126.com,2,2,1,1,2,1,2002,专科（高职）,,0,0,0,0,0,0,"023-65928128,023-65928126","[""province_id""]",重庆,36000,公办,6001,专科（高职）,"重电,CQCEE",http://www.cqcet.edu.cn,1,沙坪坝区,5001,ObjectId(5ceecb46782ac34b5ccea881)
