average,year,local_batch_id,local_batch_name,local_province_id,local_province_name,local_type_id,local_type_name
543,2014,7,本科一批,11,北京,1,理科
495,2014,8,本科二批,11,北京,1,理科
466,2014,9,本科三批,11,北京,1,理科
565,2014,7,本科一批,11,北京,2,文科
507,2014,8,本科二批,11,北京,2,文科
458,2014,9,本科三批,11,北京,2,文科
548,2015,7,本科一批,11,北京,1,理科
495,2015,8,本科二批,11,北京,1,理科
452,2015,9,本科三批,11,北京,1,理科
150,2015,19,专科一批,11,北京,1,理科
579,2015,7,本科一批,11,北京,2,文科
527,2015,8,本科二批,11,北京,2,文科
477,2015,9,本科三批,11,北京,2,文科
150,2015,19,专科一批,11,北京,2,文科
548,2016,7,本科一批,11,北京,1,理科
494,2016,8,本科二批,11,北京,1,理科
438,2016,9,本科三批,11,北京,1,理科
150,2016,19,专科一批,11,北京,1,理科
583,2016,7,本科一批,11,北京,2,文科
532,2016,8,本科二批,11,北京,2,文科
488,2016,9,本科三批,11,北京,2,文科
150,2016,19,专科一批,11,北京,2,文科
537,2017,7,本科一批,11,北京,1,理科
439,2017,8,本科二批,11,北京,1,理科
150,2017,10,专科批,11,北京,1,理科
555,2017,7,本科一批,11,北京,2,文科
468,2017,8,本科二批,11,北京,2,文科
150,2017,10,专科批,11,北京,2,文科
532,2018,7,本科一批,11,北京,1,理科
432,2018,8,本科二批,11,北京,1,理科
150,2018,10,专科批,11,北京,1,理科
576,2018,7,本科一批,11,北京,2,文科
488,2018,8,本科二批,11,北京,2,文科
150,2018,10,专科批,11,北京,2,文科
516,2014,7,本科一批,12,天津,1,理科
439,2014,8,本科二批,12,天津,1,理科
353,2014,9,本科三批,12,天津,1,理科
523,2014,7,本科一批,12,天津,2,文科
462,2014,8,本科二批,12,天津,2,文科
366,2014,9,本科三批,12,天津,2,文科
538,2015,7,本科一批,12,天津,1,理科
459,2015,8,本科二批,12,天津,1,理科
376,2015,9,本科三批,12,天津,1,理科
200,2015,19,专科一批,12,天津,1,理科
547,2015,7,本科一批,12,天津,2,文科
486,2015,8,本科二批,12,天津,2,文科
385,2015,9,本科三批,12,天津,2,文科
200,2015,19,专科一批,12,天津,2,文科
512,2016,7,本科一批,12,天津,1,理科
424,2016,8,本科二批,12,天津,1,理科
336,2016,9,本科三批,12,天津,1,理科
532,2016,7,本科一批,12,天津,2,文科
460,2016,8,本科二批,12,天津,2,文科
320,2016,9,本科三批,12,天津,2,文科
521,2017,7,本科一批,12,天津,1,理科
395,2017,8,本科二批,12,天津,1,理科
531,2017,7,本科一批,12,天津,2,文科
401,2017,8,本科二批,12,天津,2,文科
407,2018,14,本科批,12,天津,1,理科
436,2018,14,本科批,12,天津,2,文科
573,2014,7,本科一批,13,河北,1,理科
503,2014,8,本科二批,13,河北,1,理科
326,2014,9,本科三批,13,河北,1,理科
200,2014,19,专科一批,13,河北,1,理科
563,2014,7,本科一批,13,河北,2,文科
513,2014,8,本科二批,13,河北,2,文科
415,2014,9,本科三批,13,河北,2,文科
200,2014,19,专科一批,13,河北,2,文科
544,2015,7,本科一批,13,河北,1,理科
474,2015,8,本科二批,13,河北,1,理科
335,2015,9,本科三批,13,河北,1,理科
200,2015,19,专科一批,13,河北,1,理科
548,2015,7,本科一批,13,河北,2,文科
496,2015,8,本科二批,13,河北,2,文科
404,2015,9,本科三批,13,河北,2,文科
200,2015,19,专科一批,13,河北,2,文科
525,2016,7,本科一批,13,河北,1,理科
